datum;talsperre;stauraum_mio_m3;inhalt_mio_m3;fuellgrad_pct;quelle
2024-08-15;Obernau;14.9;13.94;93.56;https://www.bra.nrw.de/system/files/media/document/file/2024-08-15_talsperrenfuellstaende.pdf
2025-01-01;Breitenbach;7.8;6.7;85.9;https://www.bra.nrw.de/system/files/media/document/file/2025-01-01_talsperrenfuellstaende.pdf
2025-01-01;Obernau;14.9;13.29;89.19;https://www.bra.nrw.de/system/files/media/document/file/2025-01-01_talsperrenfuellstaende.pdf
2025-01-15;Breitenbach;7.8;6.62;84.87;https://www.bra.nrw.de/system/files/media/document/file/2025-01-15_talsperrenfuellstaende.pdf
2025-01-15;Obernau;14.9;13.66;91.68;https://www.bra.nrw.de/system/files/media/document/file/2025-01-15_talsperrenfuellstaende.pdf
2025-02-01;Breitenbach;7.8;6.69;85.77;https://www.bra.nrw.de/system/files/media/document/file/2025-02-01_talsperrenfuellstaende.pdf
2025-02-01;Obernau;14.9;13.79;92.55;https://www.bra.nrw.de/system/files/media/document/file/2025-02-01_talsperrenfuellstaende.pdf
2025-02-15;Breitenbach;7.8;6.62;84.87;https://www.bra.nrw.de/system/files/media/document/file/2025-02-15_talsperrenfuellstaende.pdf
2025-02-15;Obernau;14.9;13.58;91.14;https://www.bra.nrw.de/system/files/media/document/file/2025-02-15_talsperrenfuellstaende.pdf
2025-03-01;Breitenbach;7.8;6.55;83.97;https://www.bra.nrw.de/system/files/media/document/file/2025-03-01_talsperrenfuellstaende.pdf
2025-03-01;Obernau;14.9;13.37;89.73;https://www.bra.nrw.de/system/files/media/document/file/2025-03-01_talsperrenfuellstaende.pdf
2025-03-15;Breitenbach;7.8;6.43;82.44;https://www.bra.nrw.de/system/files/media/document/file/2025-03-15_talsperrenfuellstaende.pdf
2025-03-15;Obernau;14.9;13.12;88.05;https://www.bra.nrw.de/system/files/media/document/file/2025-03-15_talsperrenfuellstaende.pdf
2025-04-01;Breitenbach;7.8;6.26;80.26;https://www.bra.nrw.de/system/files/media/document/file/2025-04-01_talsperrenfuellstaende.pdf
2025-04-01;Obernau;14.9;12.76;85.64;https://www.bra.nrw.de/system/files/media/document/file/2025-04-01_talsperrenfuellstaende.pdf
2025-04-15;Breitenbach;7.8;6.05;77.56;https://www.bra.nrw.de/system/files/media/document/file/2025-04-15_talsperrenfuellstaende.pdf
2025-04-15;Obernau;14.9;12.4;83.22;https://www.bra.nrw.de/system/files/media/document/file/2025-04-15_talsperrenfuellstaende.pdf
2025-05-01;Breitenbach;7.8;6.01;77.05;https://www.bra.nrw.de/system/files/media/document/file/2025-05-01_talsperrenfuellstaende.pdf
2025-05-01;Obernau;14.9;12.25;82.21;https://www.bra.nrw.de/system/files/media/document/file/2025-05-01_talsperrenfuellstaende.pdf
2025-05-15;Breitenbach;7.8;5.88;75.38;https://www.bra.nrw.de/system/files/media/document/file/2025-05-15_talsperrenfuellstaende.pdf
2025-05-15;Obernau;14.9;11.99;80.47;https://www.bra.nrw.de/system/files/media/document/file/2025-05-15_talsperrenfuellstaende.pdf
2025-06-01;Breitenbach;7.8;5.71;73.21;https://www.bra.nrw.de/system/files/media/document/file/2025-06-01_talsperrenfuellstaende.pdf
2025-06-01;Obernau;14.9;11.56;77.58;https://www.bra.nrw.de/system/files/media/document/file/2025-06-01_talsperrenfuellstaende.pdf
2025-06-15;Breitenbach;7.8;5.67;72.69;https://www.bra.nrw.de/system/files/media/document/file/2025-06-15_talsperrenfuellstaende.pdf
2025-06-15;Obernau;14.9;11.37;76.31;https://www.bra.nrw.de/system/files/media/document/file/2025-06-15_talsperrenfuellstaende.pdf
2025-07-01;Breitenbach;7.8;5.48;70.26;https://www.bra.nrw.de/system/files/media/document/file/2025-07-01_talsperrenfuellstaende.pdf
2025-07-01;Obernau;14.9;10.87;72.95;https://www.bra.nrw.de/system/files/media/document/file/2025-07-01_talsperrenfuellstaende.pdf
