datum;talsperre;stauraum_mio_m3;inhalt_mio_m3;fuellgrad_pct;quelle
2017-07-01;Breitenbach;7.8;4.22;54.1;https://www.bra.nrw.de/system/files/media/document/file/17_07_01.pdf
2017-07-01;Obernau;14.9;10.29;69.06;https://www.bra.nrw.de/system/files/media/document/file/17_07_01.pdf
2017-07-15;Breitenbach;7.8;4.06;52.05;https://www.bra.nrw.de/system/files/media/document/file/17_07_15.pdf
2017-07-15;Obernau;14.9;9.87;66.24;https://www.bra.nrw.de/system/files/media/document/file/17_07_15.pdf
2017-08-01;Breitenbach;7.8;3.98;51.03;https://www.bra.nrw.de/system/files/media/document/file/17_08_01.pdf
2017-08-01;Obernau;14.9;9.55;64.09;https://www.bra.nrw.de/system/files/media/document/file/17_08_01.pdf
2017-08-15;Breitenbach;7.8;3.96;50.77;https://www.bra.nrw.de/system/files/media/document/file/17_08_15.pdf
2017-08-15;Obernau;14.9;9.44;63.36;https://www.bra.nrw.de/system/files/media/document/file/17_08_15.pdf
2017-09-01;Breitenbach;7.8;4.02;51.54;https://www.bra.nrw.de/system/files/media/document/file/17_09_01.pdf
2017-09-01;Obernau;14.9;9.3;62.42;https://www.bra.nrw.de/system/files/media/document/file/17_09_01.pdf
2017-09-15;Breitenbach;7.8;4.02;51.54;https://www.bra.nrw.de/system/files/media/document/file/17_09_15.pdf
2017-09-15;Obernau;14.9;9.3;62.42;https://www.bra.nrw.de/system/files/media/document/file/17_09_15.pdf
2017-10-01;Breitenbach;7.8;4.26;54.62;https://www.bra.nrw.de/system/files/media/document/file/17_10_01.pdf
2017-10-01;Obernau;14.9;9.35;62.75;https://www.bra.nrw.de/system/files/media/document/file/17_10_01.pdf
2017-10-15;Breitenbach;7.8;4.54;58.21;https://www.bra.nrw.de/system/files/media/document/file/17_10_15.pdf
2017-10-15;Obernau;14.9;9.61;64.5;https://www.bra.nrw.de/system/files/media/document/file/17_10_15.pdf
2017-11-01;Breitenbach;7.8;4.6;58.97;https://www.bra.nrw.de/system/files/media/document/file/17_11_01.pdf
2017-11-01;Obernau;14.9;9.5;63.76;https://www.bra.nrw.de/system/files/media/document/file/17_11_01.pdf
2017-11-15;Breitenbach;7.8;4.73;60.64;https://www.bra.nrw.de/system/files/media/document/file/17_11_15.pdf
2017-11-15;Obernau;14.9;9.45;63.42;https://www.bra.nrw.de/system/files/media/document/file/17_11_15.pdf
2017-12-01;Breitenbach;7.8;5.44;69.74;https://www.bra.nrw.de/system/files/media/document/file/17_12_01.pdf
2017-12-01;Obernau;14.9;10.49;70.4;https://www.bra.nrw.de/system/files/media/document/file/17_12_01.pdf
2017-12-15;Breitenbach;7.8;5.97;76.54;https://www.bra.nrw.de/system/files/media/document/file/17_12_15.pdf
2017-12-15;Obernau;14.9;11.56;77.58;https://www.bra.nrw.de/system/files/media/document/file/17_12_15.pdf
2018-01-01;Breitenbach;7.8;6.66;85.38;https://www.bra.nrw.de/system/files/media/document/file/18_01_01.pdf
2018-01-01;Obernau;14.9;13.23;88.79;https://www.bra.nrw.de/system/files/media/document/file/18_01_01.pdf
2018-01-15;Breitenbach;7.8;6.6;84.62;https://www.bra.nrw.de/system/files/media/document/file/18_01_15.pdf
2018-01-15;Obernau;14.9;13.58;91.14;https://www.bra.nrw.de/system/files/media/document/file/18_01_15.pdf
2018-02-01;Breitenbach;7.8;6.62;84.87;https://www.bra.nrw.de/system/files/media/document/file/18_02_01.pdf
2018-02-01;Obernau;14.9;13.65;91.61;https://www.bra.nrw.de/system/files/media/document/file/18_02_01.pdf
2018-02-15;Breitenbach;7.8;6.6;84.62;https://www.bra.nrw.de/system/files/media/document/file/18_02_15.pdf
2018-02-15;Obernau;14.9;13.61;91.34;https://www.bra.nrw.de/system/files/media/document/file/18_02_15.pdf
2018-03-01;Breitenbach;7.8;6.47;82.95;https://www.bra.nrw.de/system/files/media/document/file/18_03_01.pdf
2018-03-01;Obernau;14.9;13.34;89.53;https://www.bra.nrw.de/system/files/media/document/file/18_03_01.pdf
2018-03-15;Breitenbach;7.8;6.5;83.33;https://www.bra.nrw.de/system/files/media/document/file/18_03_15.pdf
2018-03-15;Obernau;14.9;13.24;88.86;https://www.bra.nrw.de/system/files/media/document/file/18_03_15.pdf
2018-04-01;Breitenbach;7.8;6.72;86.15;https://www.bra.nrw.de/system/files/media/document/file/18_04_01.pdf
2018-04-01;Obernau;14.9;13.61;91.34;https://www.bra.nrw.de/system/files/media/document/file/18_04_01.pdf
2018-04-15;Breitenbach;7.8;6.86;87.95;https://www.bra.nrw.de/system/files/media/document/file/18_04_15.pdf
2018-04-15;Obernau;14.9;14.02;94.09;https://www.bra.nrw.de/system/files/media/document/file/18_04_15.pdf
2018-05-01;Breitenbach;7.8;6.71;86.03;https://www.bra.nrw.de/system/files/media/document/file/18_05_01.pdf
2018-05-01;Obernau;14.9;13.73;92.15;https://www.bra.nrw.de/system/files/media/document/file/18_05_01.pdf
2018-05-15;Breitenbach;7.8;6.53;83.72;https://www.bra.nrw.de/system/files/media/document/file/18_05_15.pdf
2018-05-15;Obernau;14.9;13.41;90.0;https://www.bra.nrw.de/system/files/media/document/file/18_05_15.pdf
2018-06-01;Breitenbach;7.8;6.42;82.31;https://www.bra.nrw.de/system/files/media/document/file/18_06_01.pdf
2018-06-01;Obernau;14.9;12.88;86.44;https://www.bra.nrw.de/system/files/media/document/file/18_06_01.pdf
2018-06-15;Breitenbach;7.8;6.28;80.51;https://www.bra.nrw.de/system/files/media/document/file/18_06_15.pdf
2018-06-15;Obernau;14.9;12.49;83.83;https://www.bra.nrw.de/system/files/media/document/file/18_06_15.pdf
2018-07-01;Breitenbach;7.8;5.54;71.03;https://www.bra.nrw.de/system/files/media/document/file/18_07_01.pdf
2018-07-01;Obernau;14.9;11.98;80.4;https://www.bra.nrw.de/system/files/media/document/file/18_07_01.pdf
2018-07-15;Breitenbach;7.8;5.74;73.59;https://www.bra.nrw.de/system/files/media/document/file/18_07_15.pdf
2018-07-15;Obernau;14.9;11.51;77.25;https://www.bra.nrw.de/system/files/media/document/file/18_07_15.pdf
2018-08-01;Breitenbach;7.8;5.37;68.85;https://www.bra.nrw.de/system/files/media/document/file/18_08_01.pdf
2018-08-01;Obernau;14.9;10.94;73.44;https://www.bra.nrw.de/system/files/media/document/file/18_08_01.pdf
2018-08-15;Breitenbach;7.8;5.74;73.59;https://www.bra.nrw.de/system/files/media/document/file/18_08_15.pdf
2018-08-15;Obernau;14.9;11.51;77.25;https://www.bra.nrw.de/system/files/media/document/file/18_08_15.pdf
2018-09-01;Breitenbach;7.8;4.7;60.26;https://www.bra.nrw.de/system/files/media/document/file/18_09_01.pdf
2018-09-01;Obernau;14.9;9.95;66.78;https://www.bra.nrw.de/system/files/media/document/file/18_09_01.pdf
2018-09-15;Breitenbach;7.8;4.45;57.05;https://www.bra.nrw.de/system/files/media/document/file/18_09_15.pdf
2018-09-15;Obernau;14.9;9.52;63.89;https://www.bra.nrw.de/system/files/media/document/file/18_09_15.pdf
2018-10-01;Breitenbach;7.8;4.15;53.21;https://www.bra.nrw.de/system/files/media/document/file/18_10_01.pdf
2018-10-01;Obernau;14.9;9.05;60.74;https://www.bra.nrw.de/system/files/media/document/file/18_10_01.pdf
2018-10-15;Breitenbach;7.8;3.94;50.51;https://www.bra.nrw.de/system/files/media/document/file/18_10_15.pdf
2018-10-15;Obernau;14.9;8.63;57.92;https://www.bra.nrw.de/system/files/media/document/file/18_10_15.pdf
2018-11-01;Breitenbach;7.8;3.71;47.56;https://www.bra.nrw.de/system/files/media/document/file/18_11_01.pdf
2018-11-01;Obernau;14.9;8.12;54.5;https://www.bra.nrw.de/system/files/media/document/file/18_11_01.pdf
2018-11-15;Breitenbach;7.8;3.51;45.0;https://www.bra.nrw.de/system/files/media/document/file/18_11_15.pdf
2018-11-15;Obernau;14.9;7.76;52.08;https://www.bra.nrw.de/system/files/media/document/file/18_11_15.pdf
2018-12-01;Breitenbach;7.8;3.28;42.05;https://www.bra.nrw.de/system/files/media/document/file/18_12_01.pdf
