datum;talsperre;fuellgrad_pct;inhalt_mio_m3;quelle
1999-04-15;Breitenbachtalsperre;93.46;7.29;https://web.archive.org/web/20030923115731id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_04_99.html
1999-04-15;Obernautalsperre;98.46;14.67;https://web.archive.org/web/20030923115731id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_04_99.html
1999-05-01;Breitenbachtalsperre;95.64;7.46;https://web.archive.org/web/20030512125800id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_05_99.html
1999-05-01;Obernautalsperre;98.26;14.64;https://web.archive.org/web/20030512125800id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_05_99.html
1999-06-15;Breitenbachtalsperre;88.21;6.88;https://web.archive.org/web/20030512130946id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_06_99.html
1999-06-15;Obernautalsperre;91.34;13.61;https://web.archive.org/web/20030512130946id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_06_99.html
1999-07-01;Breitenbachtalsperre;84.49;6.59;https://web.archive.org/web/20030512125844id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_07_99.html
1999-07-01;Obernautalsperre;88.32;13.16;https://web.archive.org/web/20030512125844id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_07_99.html
1999-07-15;Breitenbachtalsperre;81.67;6.37;https://web.archive.org/web/20030923115654id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_07_99.html
1999-07-15;Obernautalsperre;85.23;12.7;https://web.archive.org/web/20030923115654id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_07_99.html
1999-08-01;Breitenbachtalsperre;76.79;5.99;https://web.archive.org/web/20030923113745id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_08_99.html
1999-08-01;Obernautalsperre;82.48;12.29;https://web.archive.org/web/20030923113745id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_08_99.html
1999-08-15;Breitenbachtalsperre;72.95;5.69;https://web.archive.org/web/20030512131046id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_08_99.html
1999-08-15;Obernautalsperre;80.07;11.93;https://web.archive.org/web/20030512131046id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_08_99.html
1999-09-01;Breitenbachtalsperre;69.36;5.41;https://web.archive.org/web/20030923113659id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_09_99.html
1999-09-01;Obernautalsperre;77.32;11.52;https://web.archive.org/web/20030923113659id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_09_99.html
1999-09-15;Breitenbachtalsperre;65.38;5.1;https://web.archive.org/web/20030512131359id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_09_99.html
1999-09-15;Obernautalsperre;74.5;11.1;https://web.archive.org/web/20030512131359id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_09_99.html
